province,year,profession,age 30–59 years (%),age 60+ years (%),age <30 years (%),count,female (%),per_100k
AB,2020,Regulated nurses,72.6,10.5,16.9,54266,92.2,1231.2
AB,2020,Respiratory therapists,74.1,7.3,18.6,1910,74.3,43.3
AB,2020,Social workers,74.2,12.7,13.1,7704,81.1,174.8
AB,2020,Specialists,79.4,20.1,0.5,5701,36.1,129.3
AB,2020,Speech–language pathologists,79.1,6.6,14.2,1505,96.3,34.1
AB,2021,Audiologists,77.1,11.2,11.7,205,79,4.6
AB,2021,Chiropractors,80.4,11.3,8.3,1174,31.8,26.5
AB,2021,Combined laboratory and X-ray technologists,,,,607,94.56342669,13.69729784
AB,2021,Dental assistants,70.5,4.9,24.6,6529,98.5,147.3
AB,2021,Dental hygienists,70.8,3.5,25.7,3405,95.2,76.8
AB,2021,Dentists,78.3,16.1,5.6,2897,36.5,65.4
AB,2021,Denturists,,,,318,,7.2
AB,2021,Dietitians,78.2,6.6,15.1,1393,96.7,31.4
AB,2021,Environmental public health professionals,,,,,,
AB,2021,Family medicine,74.5,19.6,5.9,5423,45.5,122.4
AB,2021,Genetic counsellors,,,,,96.3,
AB,2021,Health information management professionals,77.7,13.9,8.3,,92.9,
AB,2021,Licensed practical nurses,73.2,6,20.8,16498,92.1,372.3
AB,2021,Medical laboratory technologists,,,,2507,,56.6
AB,2021,Medical physicists,91.9,8.1,0,,31,
AB,2021,Medical radiation technologists,74.6,7.4,18,2411,82.4,54.4
AB,2021,Midwives,85.6,7.5,6.8,146,100,3.3
AB,2021,Nurse practitioners,88.5,10.6,0.9,633,90.8,14.3
AB,2021,Occupational therapists,82.7,5.1,12.2,2303,89.5,52
AB,2021,Opticians,,,,259,72.9,5.8
AB,2021,Optometrists,82.4,7.3,10.3,864,53.4,19.5
AB,2021,Paramedics,73.5,4.4,22.1,8794,37.9,198.4
AB,2021,Personal support workers,74.4,9.6,15.9,,89.5,
AB,2021,Pharmacists,81.9,7.2,10.9,5814,61,131.2
AB,2021,Pharmacy technicians,,,,1779,,40.1
AB,2021,Physician assistants,,,,,58.2,
AB,2021,Physicians,77.4,19.6,3,11085,41,250.1
AB,2021,Physiotherapists,81,7.6,11.4,3293,70.3,74.3
AB,2021,Psychologists,,,,4348,80.2,98.1
AB,2021,Registered nurses,73.5,11.8,14.7,36288,92.6,818.9
AB,2021,Registered psychiatric nurses,68.9,13.9,17.2,1364,79.5,30.8
AB,2021,Regulated nurses,73.5,10.1,16.4,54783,92.1,1236.2
AB,2021,Respiratory therapists,72.5,5.9,21.6,1933,74.3,43.6
AB,2021,Social workers,75.6,12,12.3,8028,80.5,181.2
AB,2021,Specialists,80.2,19.6,0.2,5662,36.8,127.8
AB,2021,Speech–language pathologists,81.7,6.8,11.5,1492,96.4,33.7
AB,2022,Audiologists,78.7,10.9,10.4,202,78.7,4.5
AB,2022,Chiropractors,77.7,11.8,10.5,1238,32.6,27.4
AB,2022,Combined laboratory and X-ray technologists,,,,622,94.33656958,13.78885014
AB,2022,Dental assistants,70.9,5.8,23.4,6764,98.1,149.9
AB,2022,Dental hygienists,73.7,4.3,21.9,3640,94.7,80.7
AB,2022,Dentists,79.4,13.4,7.1,2759,37,61.2
AB,2022,Denturists,,,,316,,7
AB,2022,Dietitians,79.6,5.7,14.7,1396,96.1,30.9
AB,2022,Environmental public health professionals,,,,,,
AB,2022,Family medicine,75.5,20.2,4.3,5417,45.6,120.1
AB,2022,Genetic counsellors,,,,,,
AB,2022,Licensed practical nurses,73.6,5.8,20.6,17251,92,382.4
AB,2022,Medical laboratory technologists,75.2,11.2,13.7,2563,83.2,56.8
AB,2022,Medical radiation technologists,74.3,6.7,19,2530,82.6,56.1
AB,2022,Midwives,91.8,3.2,5.1,158,100,3.5
AB,2022,Nurse practitioners,89,10.5,0.4,674,90.8,14.9
AB,2022,Occupational therapists,83,5.4,11.6,2356,89.7,52.2
AB,2022,Opticians,,,,289,75.7,6.4
AB,2022,Optometrists,82.5,7.3,10.2,892,54.3,19.8
AB,2022,Paramedics,,,,8417,38.1,186.6
AB,2022,Personal support workers,75.2,9.5,15.3,,89.2,
AB,2022,Pharmacists,83.4,6.9,9.7,5917,60.7,131.2
AB,2022,Pharmacy technicians,,,,1827,,40.5
AB,2022,Physicians,77.7,20.1,2.2,11078,41.3,245.6
AB,2022,Physiotherapists,81.8,7.3,10.8,3421,69.9,75.8
AB,2022,Psychologists,77.4,15.2,7.4,4584,80.8,101.6
AB,2022,Registered nurses,74.4,11.5,14.2,36302,92.3,804.8
AB,2022,Registered psychiatric nurses,70.1,13.2,16.6,1390,79.9,30.8
AB,2022,Regulated nurses,74.2,9.7,16.1,55617,91.9,1232.9
AB,2022,Social workers,76.2,12.2,11.6,8877,79.9,196.8
AB,2022,Specialists,79.8,20.1,0.2,5661,37.2,125.5
AB,2022,Speech–language pathologists,82.3,6.2,11.5,1497,96.3,33.2
AB,2023,Audiologists,79.8,12.3,7.9,203,78.8,4.3
AB,2023,Chiropractors,77.4,10.8,11.8,1272,33.3,27.1
AB,2023,Combined laboratory and X-ray technologists,,,,640,94.33962264,13.63068096
AB,2023,Dental assistants,71,5.4,23.6,6839,98,145.7
AB,2023,Dental hygienists,72.9,4.4,22.7,3921,94.5,83.5
AB,2023,Dentists,79.1,14.3,6.7,2894,36.9,61.6
AB,2023,Denturists,,,,321,,6.8
AB,2023,Dietitians,79.4,5,15.7,1411,96,30.1
AB,2023,Environmental public health professionals,,,,,,
AB,2023,Family medicine,75.3,19.4,5.3,5452,46.5,116.1
AB,2023,Genetic counsellors,,,,,,
AB,2023,Health information management professionals,79.4,13.8,6.9,,92.5,
AB,2023,Licensed practical nurses,74.3,5.4,20.3,18166,91.9,386.9
AB,2023,Medical laboratory technologists,74.8,10.6,14.6,2566,82,54.7
AB,2023,Medical physicists,80,13.3,6.7,,27.3,
AB,2023,Medical radiation technologists,74.4,8.8,16.8,2661,82.3,56.7
AB,2023,Midwives,91.9,2.3,5.8,172,100,3.7
AB,2023,Nurse practitioners,88.6,9.8,1.5,722,90.6,15.4
AB,2023,Occupational therapists,82.8,5.7,11.6,2429,89.9,51.7
AB,2023,Optometrists,84.2,6.4,9.4,917,55.4,19.5
AB,2023,Paramedics,,,,8899,38.9,189.5
AB,2023,Personal support workers,74.8,9.9,15.3,,89.3,
AB,2023,Pharmacists,83.7,7,9.3,6045,60.6,128.7
AB,2023,Pharmacy technicians,,,,1937,,41.3
AB,2023,Physician assistants,,,,,54.3,
AB,2023,Physicians,77.5,19.6,2.8,11275,42,240.1
AB,2023,Physiotherapists,82.6,7,10.5,3536,69.5,75.3
AB,2023,Psychologists,78.9,13.6,7.5,4849,81.3,103.3
AB,2023,Registered nurses,75.1,10.9,14,37202,92.1,792.3
AB,2023,Registered psychiatric nurses,70.7,13.4,15.9,1430,79.8,30.5
AB,2023,Regulated nurses,74.9,9.2,15.9,57520,91.7,1225.1
AB,2023,Respiratory therapists,79.8,10.1,10,1945,74.6,41.4
AB,2023,Social workers,76.7,11.7,11.6,9397,79.3,200.1
AB,2023,Specialists,79.6,19.8,0.5,5823,37.8,124
AB,2023,Speech–language pathologists,80.4,6.2,13.3,1522,95.8,32.4
BC,2019,Audiologists,78.4,12.9,8.7,310,79,6.1
BC,2019,Chiropractors,73.3,14.2,12.5,1324,32.6,25.9
BC,2019,Dental assistants,,,,6148,99.1,120.3
BC,2019,Dental hygienists,,,,4172,,81.6
BC,2019,Dentists,75.7,19.8,4.5,3602,37,70.5
BC,2019,Denturists,,,,224,,4.4
BC,2019,Dietitians,76.4,10.2,13.4,1400,96.3,27.4
BC,2019,Environmental public health professionals,,,,188,,3.7
BC,2019,Family medicine,67.4,26,6.6,6687,44.3,130.8
BC,2019,Genetic counsellors,,,,64,95.3,1.3
BC,2019,Health information management professionals,80.5,15,4.5,496,94.5,9.7
BC,2019,Licensed practical nurses,74.6,7.8,17.7,12351,89.9,241.7
BC,2019,Medical laboratory technologists,,,,,81,
BC,2019,Medical physicists,,,,69,37.7,1.4
BC,2019,Medical radiation technologists,71,8.1,20.9,2068,76.5,40.5
BC,2019,Midwives,83.8,6.2,10.1,308,100,6
BC,2019,Nurse practitioners,90.7,8,1.4,514,92.4,10.1
BC,2019,Occupational therapists,78.8,7.6,13.6,2491,88.1,48.7
BC,2019,Opticians,,,,599,57.9,11.7
BC,2019,Optometrists,,,,851,52.3,16.7
BC,2019,Paramedics,70.6,8.5,20.8,4918,35.5,96.2
BC,2019,Pharmacists,74.8,9.7,15.5,5737,57.9,112.2
BC,2019,Pharmacy technicians,,,,1645,,32.2
BC,2019,Physician assistants,,,,22,,0.4
BC,2019,Physicians,70.8,25.5,3.7,12757,40.3,249.6
BC,2019,Physiotherapists,80.2,9.6,10.2,3915,68.1,76.6
BC,2019,Psychologists,62.1,37.6,0.2,1252,67,24.5
BC,2019,Registered nurses,72.2,13,14.8,38041,91,744.3
BC,2019,Registered psychiatric nurses,75.2,11.5,13.3,2827,79.3,55.3
BC,2019,Regulated nurses,73.1,11.7,15.2,53733,90.2,1051.3
BC,2019,Respiratory therapists,,,,,,
BC,2019,Specialists,74.6,24.9,0.5,6070,35.8,118.8
BC,2019,Speech–language pathologists,73.4,14.7,11.9,1371,95.1,26.8
BC,2020,Audiologists,79.3,12.7,8,314,79,6.1
BC,2020,Chiropractors,76.3,14.3,9.4,1358,33.9,26.2
BC,2020,Dental assistants,,,,6154,99.1,118.9
BC,2020,Dental hygienists,,,,3945,,76.2
BC,2020,Denturists,,,,223,,4.3
BC,2020,Dietitians,73.6,9.3,17,1468,96.3,28.4
BC,2020,Environmental public health professionals,,,,224,,4.3
BC,2020,Family medicine,68.6,24.8,6.6,6884,45.1,133
BC,2020,Genetic counsellors,,,,70,97.1,1.4
BC,2020,Health information management professionals,,,,487,,9.4
BC,2020,Licensed practical nurses,74.5,7.9,17.5,12769,89.7,246.7
BC,2020,Medical laboratory technologists,,,,,80.4,
BC,2020,Medical physicists,84.5,6.9,8.6,76,42.7,1.5
BC,2020,Medical radiation technologists,71.7,8.4,19.9,2089,76.8,40.4
BC,2020,Midwives,83.8,8.1,8.1,320,99.4,6.2
BC,2020,Nurse practitioners,90.4,8.7,0.9,540,92.8,10.4
BC,2020,Occupational therapists,79.5,7.5,13,2535,88,49
BC,2020,Optometrists,,,,879,53.4,17
BC,2020,Paramedics,70.1,9.4,20.4,5183,36.4,100.1
BC,2020,Pharmacists,77.9,9.7,12.4,5909,57.9,114.2
BC,2020,Pharmacy technicians,,,,1688,,32.6
BC,2020,Physician assistants,,,,23,,0.4
BC,2020,Physicians,72,24.3,3.7,13073,41,252.6
BC,2020,Physiotherapists,80.5,9.2,10.4,4103,68,79.3
BC,2020,Psychologists,61.7,38.2,0.1,1261,69,24.4
BC,2020,Registered nurses,72.6,12.8,14.6,38863,90.8,750.8
BC,2020,Registered psychiatric nurses,76.4,11.8,11.8,2906,79.9,56.1
BC,2020,Regulated nurses,73.4,11.6,15,55078,90,1064.1
BC,2020,Respiratory therapists,,,,,,
BC,2020,Social workers,,,,5137,,99.2
BC,2020,Specialists,75.7,23.8,0.5,6189,36.4,119.6
BC,2020,Speech–language pathologists,72.9,14,13.1,1425,94.8,27.5
BC,2021,Audiologists,76.8,12.4,10.8,315,81,6
BC,2021,Chiropractors,75.6,14.6,9.8,1394,34.1,26.7
BC,2021,Dental assistants,,,,6188,98.9,118.4
BC,2021,Dental hygienists,,,,4119,,78.8
BC,2021,Denturists,,,,246,,4.7
BC,2021,Dietitians,75.2,9.3,15.5,1508,96.1,28.9
BC,2021,Environmental public health professionals,,,,,,
BC,2021,Family medicine,68.2,25.5,6.3,7118,45.6,136.2
BC,2021,Genetic counsellors,,,,,96.6,
BC,2021,Health information management professionals,82.1,12.1,5.9,,94.6,
BC,2021,Licensed practical nurses,74.4,7.6,18,13409,89.8,256.5
BC,2021,Medical laboratory technologists,73.4,13.6,13.1,,80.7,
BC,2021,Medical physicists,95.9,2,2,,38.7,
BC,2021,Medical radiation technologists,71.3,8.1,20.7,,76.2,
BC,2021,Midwives,85.1,8,6.9,350,99.4,6.7
BC,2021,Nurse practitioners,90.3,8.3,1.4,648,91.7,12.4
BC,2021,Occupational therapists,78.4,7.3,14.3,2736,87.7,52.3
BC,2021,Opticians,,,,474,56.4,9.1
BC,2021,Optometrists,79.2,9.8,11,942,53.8,18
BC,2021,Paramedics,69.3,8.1,22.5,5167,36.8,98.9
BC,2021,Pharmacists,76.6,9.6,13.8,6421,58.5,122.9
BC,2021,Pharmacy technicians,,,,1721,,32.9
BC,2021,Physician assistants,,,,,33.3,
BC,2021,Physicians,71.8,24.7,3.6,13540,41.7,259.1
BC,2021,Physiotherapists,80.7,9.2,10.1,4385,67.3,83.9
BC,2021,Psychologists,62.2,37.7,0.2,1303,69.9,24.9
BC,2021,Registered nurses,73.1,12.3,14.6,40343,90.7,771.9
BC,2021,Registered psychiatric nurses,76.5,11.5,12,3082,80.2,59
BC,2021,Regulated nurses,73.8,11.1,15.1,57482,89.9,1099.8
BC,2021,Respiratory therapists,,,,,,
BC,2021,Specialists,75.7,23.7,0.6,6422,37.4,122.9
BC,2021,Speech–language pathologists,72.8,12.9,14.3,1461,94.9,28
BC,2022,Audiologists,79.1,15,5.9,306,80.7,5.7
BC,2022,Dental assistants,,,,6176,,115.3038188
BC,2022,Dental hygienists,,,,4358,,81.36237735
BC,2022,Dentists,,,,4008,,74.82799642
BC,2022,Denturists,,,,242,,4.5
BC,2022,Dietitians,74.2,8.7,17.1,1486,95.9,27.7
BC,2022,Environmental public health professionals,,,,,,
BC,2022,Family medicine,67,26.6,6.4,7523,46.3,140.5
BC,2022,Genetic counsellors,,,,,,
BC,2022,Licensed practical nurses,73.7,7.7,18.6,13627,89.7,254.4
BC,2022,Medical laboratory technologists,73.5,14.2,12.3,,79.7,
BC,2022,Medical radiation technologists,73.8,8.5,17.7,,76.5,
BC,2022,Midwives,85,9.2,5.8,360,99.4,6.7
BC,2022,Nurse practitioners,90.9,7.2,1.8,761,90.9,14.2
BC,2022,Occupational therapists,78.6,7.1,14.3,2844,87.4,53.1
BC,2022,Opticians,,,,453,59.9,8.5
BC,2022,Optometrists,80.8,10,9.2,942,54.9,17.6
BC,2022,Pharmacists,77.8,9.1,13.2,6462,58.8,120.6
BC,2022,Pharmacy technicians,,,,1755,,32.8
BC,2022,Physicians,71.1,25.3,3.6,14353,42.4,268
BC,2022,Physiotherapists,80.7,8.9,10.4,4628,66.3,86.4
BC,2022,Psychologists,57.5,42.4,0.1,1453,70.4,27.1
BC,2022,Registered nurses,73.6,11.6,14.8,40891,90.4,763.4
BC,2022,Registered psychiatric nurses,76.7,10.8,12.5,3203,81.1,59.8
BC,2022,Regulated nurses,74,10.6,15.4,58482,89.7,1091.8
BC,2022,Respiratory therapists,,,,,,
BC,2022,Specialists,75.6,23.8,0.5,6830,38.2,127.5
BC,2022,Speech–language pathologists,77.2,13.4,9.3,1413,94.8,26.4
BC,2023,Audiologists,80.6,12.3,7.1,309,80.3,5.6
BC,2023,Dental assistants,,,,6292,,114.005892
BC,2023,Dental hygienists,,,,4550,,82.44227727
BC,2023,Dentists,,,,4114,,74.542314
BC,2023,Denturists,,,,253,,4.6
BC,2023,Dietitians,74.8,9.4,15.9,1550,95.9,28.1
BC,2023,Environmental public health professionals,,,,,,
BC,2023,Family medicine,67.1,26.2,6.7,7615,47.2,138
BC,2023,Genetic counsellors,,,,,,
BC,2023,Health information management professionals,78.7,16.1,5.2,,91.5,
BC,2023,Licensed practical nurses,73,8,19,13883,89.7,251.5
BC,2023,Medical laboratory technologists,,,,,78.9,
BC,2023,Medical physicists,74.4,9.3,16.3,,52.8,
BC,2023,Medical radiation technologists,75,8.3,16.8,,74.8,
BC,2023,Midwives,87.9,6.8,5.3,397,99.7,7.2
BC,2023,Nurse practitioners,91.5,7,1.5,885,89.9,16
BC,2023,Occupational therapists,79.9,7.2,12.9,2941,87.7,53.3
BC,2023,Opticians,,,,467,60.1,8.5
BC,2023,Optometrists,79.6,10.6,9.8,965,56,17.5
BC,2023,Pharmacists,79,8.5,12.5,6568,59,119
BC,2023,Pharmacy technicians,,,,1820,,33
BC,2023,Physician assistants,,,,,26.3,
BC,2023,Physicians,71.3,25,3.7,15023,43.1,272.2
BC,2023,Physiotherapists,80.4,9,10.6,4865,66.1,88.1
BC,2023,Psychologists,60.6,39.2,0.1,1493,70.9,27.1
BC,2023,Registered nurses,73.8,11.4,14.8,41893,90.2,759.1
BC,2023,Registered psychiatric nurses,77,10.2,12.7,3314,81.8,60
BC,2023,Regulated nurses,74,10.5,15.5,59975,89.6,1086.7
BC,2023,Respiratory therapists,,,,,,
BC,2023,Specialists,75.6,23.8,0.6,7408,38.8,134.2
BC,2023,Speech–language pathologists,75.8,11.4,12.7,1453,95,26.3
MB,2019,Audiologists,,,,68,,5
MB,2019,Chiropractors,78.9,15.4,5.7,294,29.6,21.5
MB,2019,Dental hygienists,67.8,7.4,24.8,773,95.5,56.4
MB,2019,Dentists,72.1,17.2,10.7,736,35.1,53.7
MB,2019,Denturists,,,,49,,3.6
MB,2019,Dietitians,80.6,6.6,12.8,484,,35.3
MB,2019,Environmental public health professionals,,,,69,,5
MB,2019,Family medicine,67.7,23.1,9.2,1491,41,108.8
MB,2019,Genetic counsellors,,,,13,100,0.9
MB,2019,Health information management professionals,75.9,11.4,12.7,166,91,12.1
MB,2019,Licensed practical nurses,75.1,11.2,13.6,3518,89,256.8
MB,2019,Medical laboratory technologists,,,,956,,69.8
MB,2019,Medical physicists,,,,23,8.7,1.7
MB,2019,Medical radiation technologists,70.7,8.3,21,850,77.1,62
MB,2019,Midwives,84.7,3.4,11.9,59,98.3,4.3
MB,2019,Nurse practitioners,94.9,3.7,1.4,217,89.9,15.8
MB,2019,Occupational therapists,,,,690,,50.4
MB,2019,Opticians,76.8,15.5,7.7,233,77.3,17
MB,2019,Optometrists,76.1,13.9,10,187,47.6,13.6
MB,2019,Paramedics,,,,3749,37,273.6
MB,2019,Pharmacists,,,,1639,,119.6
MB,2019,Pharmacy technicians,,,,177,,12.9
MB,2019,Physician assistants,,,,134,,9.8
MB,2019,Physicians,70.6,24.5,5,2979,37.7,217.4
MB,2019,Physiotherapists,,,,814,,59.4
MB,2019,Psychologists,,,,266,65.4,19.4
MB,2019,Registered nurses,73.2,13.4,13.4,12995,90.8,948.5
MB,2019,Registered psychiatric nurses,65.3,14.6,20.1,1064,82.9,77.7
MB,2019,Regulated nurses,73.4,12.9,13.7,17794,89.9,1298.8
MB,2019,Respiratory therapists,64.4,7.9,27.8,331,65.6,24.2
MB,2019,Social workers,77,13.2,9.8,2271,85.9,165.8
MB,2019,Specialists,73.4,25.9,0.7,1488,34.4,108.6
MB,2019,Speech–language pathologists,,,,396,,28.9
MB,2020,Audiologists,,,,69,,5
MB,2020,Chiropractors,78.4,15.2,6.4,296,30.7,21.4
MB,2020,Dental assistants,63.8,3.8,32.5,1330,97.7,96.4
MB,2020,Dental hygienists,68.8,6.9,24.3,802,95.5,58.1
MB,2020,Dentists,66.1,25.6,8.3,820,35.5,59.4
MB,2020,Denturists,,,,47,,3.4
MB,2020,Dietitians,78.4,7.9,13.6,491,,35.6
MB,2020,Environmental public health professionals,,,,74,,5.4
MB,2020,Family medicine,68.1,23,8.9,1494,41.2,108.3
MB,2020,Genetic counsellors,,,,12,100,0.9
MB,2020,Health information management professionals,,,,164,,11.9
MB,2020,Licensed practical nurses,76.5,10.6,12.9,3562,88.7,258.1
MB,2020,Medical laboratory technologists,,,,956,,69.3
MB,2020,Medical physicists,,,,12,9.1,0.9
MB,2020,Medical radiation technologists,74.7,7.4,17.9,887,77.6,64.3
MB,2020,Midwives,89.1,3.6,7.3,55,98.2,4
MB,2020,Nurse practitioners,91.4,4.7,3.9,233,89.7,16.9
MB,2020,Occupational therapists,,,,722,,52.3
MB,2020,Optometrists,74.5,16.1,9.4,192,48.4,13.9
MB,2020,Pharmacists,,,,1662,,120.4
MB,2020,Pharmacy technicians,,,,212,,15.4
MB,2020,Physician assistants,,,,123,,8.9
MB,2020,Physicians,71.2,24,4.8,2987,38,216.4
MB,2020,Physiotherapists,,,,876,,63.5
MB,2020,Psychologists,72.8,27.2,0,288,66.3,20.9
MB,2020,Registered nurses,74.3,12.4,13.3,12856,90.6,931.5
MB,2020,Registered psychiatric nurses,69.1,12.8,18.1,1033,83.3,74.8
MB,2020,Regulated nurses,74.6,12,13.4,17684,89.7,1281.3
MB,2020,Respiratory therapists,64,7.6,28.4,342,65.2,24.8
MB,2020,Social workers,77.4,13.6,8.9,2520,85.9,182.6
MB,2020,Specialists,74.3,25,0.7,1493,34.8,108.2
MB,2020,Speech–language pathologists,,,,395,,28.6
MB,2021,Audiologists,,,,77,,5.5
MB,2021,Chiropractors,78.2,15.6,6.1,294,31.3,21.1
MB,2021,Dental assistants,66.5,3.5,30.1,1324,97.4,95.1
MB,2021,Dental hygienists,70.4,5.4,24.2,810,94.9,58.2
MB,2021,Dentists,73.6,18.1,8.4,753,38.1,54.1
MB,2021,Denturists,,,,46,,3.3
MB,2021,Dietitians,79.2,6,14.8,499,,35.8
MB,2021,Environmental public health professionals,,,,,,
MB,2021,Family medicine,68.8,24.2,7,1505,40.5,108.1
MB,2021,Genetic counsellors,,,,,100,
MB,2021,Health information management professionals,78.6,10.3,11.1,,89.8,
MB,2021,Licensed practical nurses,77.4,10.3,12.3,3693,88.6,265.3
MB,2021,Medical laboratory technologists,80.3,10.1,9.6,930,80.4,66.8
MB,2021,Medical physicists,,,,,16.7,
MB,2021,Medical radiation technologists,75.6,7.5,16.9,,77.3,
MB,2021,Midwives,82.8,4.7,12.5,64,98.4,4.6
MB,2021,Nurse practitioners,93.5,4.4,2.2,275,,19.8
MB,2021,Occupational therapists,,,,753,,54.1
MB,2021,Opticians,75.5,14.4,10.2,244,78.1,17.5
MB,2021,Optometrists,76.8,15.3,7.9,190,50,13.7
MB,2021,Paramedics,73.1,3.2,23.6,2138,34.8,153.6
MB,2021,Pharmacists,,,,1628,,117
MB,2021,Pharmacy technicians,,,,224,,16.1
MB,2021,Physician assistants,,,,138,32.1,9.9
MB,2021,Physicians,72.3,24.1,3.6,2996,38.1,215.2
MB,2021,Physiotherapists,,,,922,,66.2
MB,2021,Psychologists,72.8,27.2,0,280,66.8,20.1
MB,2021,Registered nurses,74.8,12.2,13,13149,,944.7
MB,2021,Registered psychiatric nurses,69.3,12.6,18.1,1112,84.1,79.9
MB,2021,Regulated nurses,75.2,11.7,13,18229,87.5,1309.6
MB,2021,Respiratory therapists,64.6,9.9,25.5,373,64.9,26.8
MB,2021,Social workers,77.2,13.9,8.9,2616,86.2,187.9
MB,2021,Specialists,75.7,24.1,0.2,1491,35.7,107.1
MB,2021,Speech–language pathologists,,,,418,,30
MB,2022,Audiologists,,,,77,,5.4
MB,2022,Chiropractors,75.8,18.7,5.5,289,30.8,20.4
MB,2022,Dental hygienists,72.5,7.1,20.4,888,94.8,62.8
MB,2022,Denturists,,,,45,,3.2
MB,2022,Dietitians,81,4.7,14.3,510,,36.1
MB,2022,Environmental public health professionals,,,,,,
MB,2022,Family medicine,69.7,22.6,7.7,1570,41.7,111.1
MB,2022,Genetic counsellors,,,,,,
MB,2022,Licensed practical nurses,78.4,10.3,11.3,3667,88.4,259.4
MB,2022,Medical laboratory technologists,80.9,8.8,10.3,904,80.5,64
MB,2022,Medical radiation technologists,77.5,7.5,15.1,,77.3,
MB,2022,Midwives,84.7,6.8,8.5,59,98.3,4.2
MB,2022,Nurse practitioners,94.1,3.9,2,306,87.5,21.6
